day0,day1,day2,day3,day4,day5,day6,day7,day8,day9,Average,Max,Min,Up_or_Down
292.45,293.82,288.92,292.71,289.12,290.4,273.98,268.99,270.2,270.04,283.063,293.82,268.99,0
262.42,265.35,269.52,271.64,276.26,281.05,280.19,279.05,287.15,289.48,276.211,289.48,262.42,0
278.95,277.71,273.47,277.62,280.39,280.29,280.17,282.3,282.5,283.34,279.67400000000004,283.34,273.47,1
264.31,252.24,253.93,248.4,245.65,259.85,253.57,251.75,254.49,252.82,253.70100000000002,264.31,245.65,1
237.69,237.64,236.85,244.31,241.91,240.28,245.76,251.86,248.43,241.85,242.658,251.86,236.85,0
224.26,227.43,232.87,237.03,243.69,244.75,246.09,228.95,232.22,239.9,235.719,246.09,224.26,0
241.27,241.59,241.52,244.29,244.0,252.21,253.1,249.18,251.73,250.91,246.97999999999996,253.1,241.27,0
237.2,237.18,240.23,239.32,239.42,239.63,244.16,253.19,255.77,257.04,244.31400000000002,257.04,237.18,0
261.91,261.83,260.2,268.11,266.18,264.02,267.17,268.41,269.68,270.64,265.815,270.64,260.2,0
307.44,300.52,296.62,290.77,290.69,297.17,294.31,294.51,290.42,296.37,295.88199999999995,307.44,290.42,0
285.43,288.1,292.47,294.17,294.65,295.0,296.2,296.34,294.05,294.75,293.11600000000004,296.34,285.43,0
318.62,314.7,312.21,304.77,304.4,308.8,307.1,307.24,299.37,299.06,307.627,318.62,299.06,1
308.04,307.1,307.07,311.08,312.9,310.91,310.94,311.46,313.86,303.97,309.733,313.86,303.97,1
289.99,292.35,288.79,286.61,289.78,289.83,292.28,294.8,292.74,283.48,290.065,294.8,283.48,1
287.06,288.17,264.36,262.44,259.79,261.88,261.57,261.54,265.42,267.88,268.011,288.17,259.79,1
258.1,259.48,263.52,261.82,263.04,260.56,259.56,258.55,258.62,257.4,260.065,263.52,257.4,0
241.6,241.39,245.58,242.6,239.21,236.55,240.5,245.9,247.86,252.24,243.34300000000002,252.24,236.55,1
302.25,295.09,299.46,287.68,288.44,271.99,285.63,273.48,280.02,280.83,286.48699999999997,302.25,271.99,0
248.15,258.44,260.67,259.05,262.45,268.53,269.34,269.47,265.26,261.44,262.28,269.47,248.15,0
250.01,251.41,256.39,256.6,267.58,270.58,273.23,278.45,294.74,290.12,268.91099999999994,294.74,250.01,1
290.49,292.06,298.22,298.95,295.21,288.24,291.32,297.63,296.96,303.03,295.21100000000007,303.03,288.24,1
310.53,306.87,312.54,311.53,311.65,307.88,308.61,311.81,309.75,314.01,310.51800000000003,314.01,306.87,0
320.0,321.74,331.46,332.89,328.27,323.8,310.07,310.41,311.81,313.64,320.409,332.89,310.07,0
304.96,303.74,301.65,302.13,301.19,305.85,302.83,301.92,303.81,303.52,303.15999999999997,305.85,301.19,1
301.35,302.27,302.44,299.0,301.45,307.74,306.84,309.41,311.35,315.81,305.76599999999996,315.81,299.0,0
302.59,298.53,296.92,297.68,299.51,303.72,306.59,306.34,301.3,301.09,301.427,306.59,296.92,1
303.44,305.68,301.48,300.87,304.41,313.29,310.36,299.08,305.91,299.28,304.38,313.29,299.08,1
281.55,284.67,279.3,281.29,283.59,281.1,288.95,289.15,292.82,296.85,285.927,296.85,279.3,0
287.18,286.39,287.29,289.3,295.42,304.27,306.61,302.65,302.86,305.53,296.75,306.61,286.39,1
338.05,333.36,337.36,342.72,339.57,341.27,339.25,339.09,348.39,351.76,341.082,351.76,333.36,0
353.66,357.8,362.39,362.7,365.62,373.29,373.18,375.32,376.84,375.84,367.66400000000004,376.84,353.66,1
338.88,342.51,342.68,340.2,339.59,332.31,324.93,330.28,331.71,328.29,335.13800000000003,342.68,324.93,0
331.69,332.74,329.34,334.1,340.56,344.65,347.88,346.33,344.22,342.63,339.41400000000004,347.88,329.34,1
366.0,365.28,367.68,369.36,368.61,360.27,361.11,356.26,354.33,350.94,361.98400000000004,369.36,350.94,0
375.43,375.51,376.43,386.35,378.09,381.44,383.65,385.53,391.22,389.75,382.34000000000003,391.22,375.43,0
411.11,409.24,405.63,402.39,404.15,405.83,404.12,403.64,403.31,404.69,405.41099999999994,411.11,402.39,0
396.05,390.06,385.98,387.37,393.61,393.72,393.55,389.51,395.2,389.82,391.487,396.05,385.98,0
450.25,452.89,452.57,451.79,443.05,439.75,435.03,438.99,432.53,433.75,443.05999999999995,452.89,432.53,1
438.22,443.45,438.26,434.36,436.86,435.89,441.47,448.63,448.66,440.72,440.65200000000004,448.66,434.36,0
453.65,450.21,449.76,442.19,441.02,439.49,443.8,442.22,450.42,451.59,446.43500000000006,453.65,439.49,0
441.1,438.98,433.28,428.22,426.86,431.21,431.09,433.04,435.22,433.48,433.24799999999993,441.1,426.86,0
441.76,436.98,437.45,436.56,436.32,441.84,442.34,436.41,434.55,431.25,437.5460000000001,442.34,431.25,0
439.36,447.34,442.74,503.82,499.78,501.62,513.78,510.86,505.7,505.6,487.06000000000006,513.78,439.36,1
527.23,529.57,527.82,525.27,524.66,527.11,526.7,532.94,537.06,540.3,529.8660000000001,540.3,524.66,0
540.35,541.08,548.26,555.47,553.84,556.64,557.11,552.66,558.26,554.48,551.8149999999999,558.26,540.35,0
564.6,566.95,569.47,577.81,586.52,584.27,592.87,591.13,597.71,599.15,583.048,599.15,564.6,1
607.72,607.81,607.33,605.56,599.1,605.19,606.86,607.53,605.13,603.52,605.575,607.81,599.1,0
